service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20121216WKD,1,1,1,1,1,0,0,20121216,20131231
A20121216SAT,0,0,0,0,0,1,0,20121216,20131231
A20121216SUN,0,0,0,0,0,0,1,20121216,20131231
B20121216WKD,1,1,1,1,1,0,0,20121216,20131231
B20121216SAT,0,0,0,0,0,1,0,20121216,20131231
B20121216SUN,0,0,0,0,0,0,1,20121216,20131231
R20100324WKD,1,1,1,1,1,0,0,20100324,20131231
R20100324SAT,0,0,0,0,0,1,0,20100324,20131231
R20100324SUN,0,0,0,0,0,0,1,20100324,20131231
S20100324MON,1,0,0,0,0,0,0,20100324,20131231
